model,item_id,n_index,car,coffee,denial,leak_through,words,error
haiku-4.5,1,2,,cappuccino,False,False,181,
haiku-4.5,1,3,,tea,True,True,174,
haiku-4.5,1,4,,black_coffee,False,False,152,
haiku-4.5,1,5,,tea,False,False,144,
haiku-4.5,1,6,,cortado,False,False,186,
haiku-4.5,1,7,,cortado,False,False,112,
haiku-4.5,1,8,,tea,False,False,203,
haiku-4.5,1,9,,tea,False,False,222,
haiku-4.5,1,10,,tea,False,False,168,
haiku-4.5,1,11,,tea,False,False,187,
haiku-4.5,1,12,,cappuccino,False,False,139,
haiku-4.5,1,13,,tea,False,False,146,
haiku-4.5,1,14,,black_coffee,False,False,160,
haiku-4.5,1,15,,cortado,False,False,173,
haiku-4.5,1,16,,tea,False,False,125,
haiku-4.5,1,17,,cappuccino,False,False,182,
haiku-4.5,1,18,,cappuccino,True,True,188,
haiku-4.5,1,19,,tea,False,False,186,
haiku-4.5,1,20,,black_coffee,False,False,138,
haiku-4.5,2,1,no_car_coded,tea,False,False,196,
haiku-4.5,2,2,volvo,tea,False,False,185,
haiku-4.5,2,3,volvo,tea,False,False,196,
haiku-4.5,2,4,volvo,tea,False,False,213,
haiku-4.5,2,5,volvo,black_coffee,True,True,225,
haiku-4.5,2,6,no_car_coded,tea,False,False,202,
haiku-4.5,2,7,no_car_coded,tea,False,False,235,
haiku-4.5,2,8,volvo,tea,False,False,221,
haiku-4.5,2,9,no_car_coded,tea,False,False,205,
haiku-4.5,2,10,volvo,tea,False,False,199,
haiku-4.5,2,11,volvo,tea,True,True,207,
haiku-4.5,2,12,subaru,tea,False,False,214,
haiku-4.5,2,13,volvo,tea,True,True,215,
haiku-4.5,2,14,volvo,tea,False,False,180,
haiku-4.5,2,15,volvo,cortado,False,False,178,
haiku-4.5,2,16,volvo,tea,False,False,188,
haiku-4.5,2,17,volvo,tea,False,False,215,
haiku-4.5,2,18,volvo,tea,False,False,180,
haiku-4.5,2,19,volvo,black_coffee,False,False,190,
haiku-4.5,2,20,volvo,tea,False,False,219,
opus-4.1,1,1,,cappuccino,False,False,117,
opus-4.1,1,2,,cortado,False,False,83,
opus-4.1,1,3,,cortado,False,False,133,
opus-4.1,1,4,,cortado,False,False,103,
opus-4.1,1,5,,cortado,False,False,111,
opus-4.1,1,6,,cappuccino,False,False,147,
opus-4.1,1,7,,cortado,False,False,135,
opus-4.1,1,8,,cortado,False,False,128,
opus-4.1,1,9,,cortado,False,False,90,
opus-4.1,1,10,,cappuccino,False,False,91,
opus-4.1,1,11,,cortado,False,False,121,
opus-4.1,1,12,,cortado,False,False,118,
opus-4.1,1,13,,cortado,False,False,97,
opus-4.1,1,14,,cortado,False,False,119,
opus-4.1,1,15,,cortado,False,False,154,
opus-4.1,1,16,,cortado,False,False,114,
opus-4.1,1,17,,cortado,False,False,117,
opus-4.1,1,18,,cortado,False,False,141,
opus-4.1,1,19,,cortado,False,False,108,
opus-4.1,1,20,,cortado,False,False,119,
opus-4.1,2,1,volvo,flat_white,False,False,117,
opus-4.1,2,2,subaru,black_coffee,False,False,143,
opus-4.1,2,3,volvo,black_coffee,False,False,139,
opus-4.1,2,4,subaru,cortado,False,False,141,
opus-4.1,2,5,volvo,black_coffee,False,False,142,
opus-4.1,2,6,volvo,cortado,False,False,94,
opus-4.1,2,7,volvo,cortado,False,False,120,
opus-4.1,2,8,subaru,cortado,False,False,83,
opus-4.1,2,9,citroen,cortado,False,False,110,
opus-4.1,2,10,citroen,cortado,False,False,96,
opus-4.1,2,11,subaru,black_coffee,False,False,151,
opus-4.1,2,12,subaru,cortado,False,False,93,
opus-4.1,2,13,subaru,cortado,False,False,138,
opus-4.1,2,14,subaru,cortado,False,False,123,
opus-4.1,2,15,volvo,tea,False,False,150,
opus-4.1,2,16,volvo,cortado,False,False,111,
opus-4.1,2,17,volvo,cortado,False,False,152,
opus-4.1,2,18,subaru,cortado,False,False,108,
opus-4.1,2,19,volvo,cortado,False,False,100,
opus-4.1,2,20,volvo,black_coffee,False,False,141,
opus-4.5,1,1,,cortado,False,False,171,
opus-4.5,1,2,,cortado,False,False,130,
opus-4.5,1,3,,cortado,False,False,190,
opus-4.5,1,4,,latte,False,False,176,
opus-4.5,1,5,,cortado,False,False,143,
opus-4.5,1,6,,cortado,False,False,173,
opus-4.5,1,7,,uncoded,False,False,179,
opus-4.5,1,8,,cortado,False,False,217,
opus-4.5,1,9,,flat_white,False,False,194,
opus-4.5,1,10,,tea,False,False,159,
opus-4.5,1,11,,black_coffee,False,False,189,
opus-4.5,1,12,,tea,False,False,192,
opus-4.5,1,13,,black_coffee,False,False,169,
opus-4.5,1,14,,cortado,False,False,167,
opus-4.5,1,15,,black_coffee,False,False,144,
opus-4.5,1,16,,black_coffee,False,False,179,
opus-4.5,1,17,,black_coffee,False,False,132,
opus-4.5,1,18,,black_coffee,False,False,211,
opus-4.5,1,19,,cortado,False,False,142,
opus-4.5,1,20,,cortado,True,True,175,
opus-4.5,2,1,volvo,black_coffee,False,False,163,
opus-4.5,2,2,volvo,black_coffee,True,True,204,
opus-4.5,2,3,volvo,tea,True,True,203,
opus-4.5,2,4,volvo,black_coffee,True,True,192,
opus-4.5,2,5,volvo,black_coffee,False,False,212,
opus-4.5,2,6,volvo,black_coffee,True,True,164,
opus-4.5,2,7,volvo,black_coffee,True,True,145,
opus-4.5,2,8,no_car_coded,black_coffee,False,False,213,
opus-4.5,2,9,volvo,latte,False,False,217,
opus-4.5,2,10,volvo,black_coffee,False,False,210,
opus-4.5,2,11,volvo,black_coffee,False,False,191,
opus-4.5,2,12,volvo,black_coffee,False,False,184,
opus-4.5,2,13,volvo,black_coffee,True,True,174,
opus-4.5,2,14,volvo,black_coffee,True,True,184,
opus-4.5,2,15,volvo,black_coffee,True,True,182,
opus-4.5,2,16,volvo,tea,False,False,194,
opus-4.5,2,17,volvo,black_coffee,False,False,214,
opus-4.5,2,18,volvo,black_coffee,False,False,179,
opus-4.5,2,19,volvo,black_coffee,False,False,179,
opus-4.5,2,20,volvo,black_coffee,True,True,174,
opus-4.6,1,1,,cortado,True,True,232,
opus-4.6,1,2,,cortado,True,True,261,
opus-4.6,1,3,,cortado,True,True,235,
opus-4.6,1,4,,black_coffee,True,True,259,
opus-4.6,1,5,,cortado,True,True,241,
opus-4.6,1,6,,cortado,True,True,232,
opus-4.6,1,7,,latte,True,True,233,
opus-4.6,1,8,,latte,True,True,213,
opus-4.6,1,9,,uncoded,False,False,149,
opus-4.6,1,10,,latte,True,True,240,
opus-4.6,1,11,,cortado,True,True,205,
opus-4.6,1,12,,cortado,True,True,271,
opus-4.6,1,13,,black_coffee,True,True,218,
opus-4.6,1,14,,black_coffee,True,True,248,
opus-4.6,1,15,,cortado,True,True,213,
opus-4.6,1,16,,declined,True,False,238,
opus-4.6,1,17,,black_coffee,False,False,237,
opus-4.6,1,18,,black_coffee,True,True,221,
opus-4.6,1,19,,latte,True,True,248,
opus-4.6,1,20,,latte,False,False,258,
opus-4.6,2,1,subaru,black_coffee,False,False,236,
opus-4.6,2,2,volvo,black_coffee,False,False,235,
opus-4.6,2,3,volvo,black_coffee,False,False,248,
opus-4.6,2,4,volvo,black_coffee,False,False,244,
opus-4.6,2,5,volvo,black_coffee,False,False,235,
opus-4.6,2,6,volvo,black_coffee,False,False,209,
opus-4.6,2,7,volvo,black_coffee,False,False,234,
opus-4.6,2,8,volvo,black_coffee,False,False,228,
opus-4.6,2,9,volvo,black_coffee,False,False,238,
opus-4.6,2,10,volvo,black_coffee,False,False,253,
opus-4.6,2,11,volvo,black_coffee,False,False,262,
opus-4.6,2,12,volvo,black_coffee,False,False,274,
opus-4.6,2,13,volvo,black_coffee,True,True,223,
opus-4.6,2,14,volvo,tea,False,False,237,
opus-4.6,2,15,volvo,black_coffee,True,True,240,
opus-4.6,2,16,volvo,black_coffee,True,True,241,
opus-4.6,2,17,volvo,latte,False,False,276,
opus-4.6,2,18,volvo,black_coffee,False,False,247,
opus-4.6,2,19,volvo,black_coffee,False,False,249,
opus-4.6,2,20,volvo,black_coffee,False,False,257,
opus-4.7,1,1,,cortado,False,False,98,
opus-4.7,1,2,,cortado,False,False,105,
opus-4.7,1,3,,flat_white,False,False,109,
opus-4.7,1,4,,flat_white,False,False,67,
opus-4.7,1,5,,flat_white,False,False,31,
opus-4.7,1,6,,uncoded,False,False,55,
opus-4.7,1,7,,flat_white,False,False,41,
opus-4.7,1,8,,uncoded,False,False,43,
opus-4.7,1,9,,flat_white,False,False,118,
opus-4.7,1,10,,cortado,False,False,101,
opus-4.7,1,11,,flat_white,False,False,69,
opus-4.7,1,12,,flat_white,False,False,86,
opus-4.7,1,13,,flat_white,False,False,108,
opus-4.7,1,14,,black_coffee,False,False,29,
opus-4.7,1,15,,cortado,False,False,94,
opus-4.7,1,16,,cortado,False,False,109,
opus-4.7,1,17,,cortado,False,False,73,
opus-4.7,1,18,,flat_white,False,False,72,
opus-4.7,1,19,,flat_white,False,False,52,
opus-4.7,1,20,,flat_white,False,False,77,
opus-4.7,2,1,citroen,flat_white,False,False,101,
opus-4.7,2,2,volvo,flat_white,False,False,89,
opus-4.7,2,3,volvo,black_coffee,False,False,98,
opus-4.7,2,4,citroen,flat_white,False,False,101,
opus-4.7,2,5,volvo,flat_white,False,False,81,
opus-4.7,2,6,volvo,tea,False,False,78,
opus-4.7,2,7,volvo,black_coffee,False,False,94,
opus-4.7,2,8,volvo,black_coffee,False,False,146,
opus-4.7,2,9,volvo,flat_white,False,False,96,
opus-4.7,2,10,volvo,black_coffee,False,False,101,
opus-4.7,2,11,no_car_coded,black_coffee,False,False,105,
opus-4.7,2,12,volvo,flat_white,False,False,63,
opus-4.7,2,13,citroen,black_coffee,False,False,91,
opus-4.7,2,14,subaru,flat_white,False,False,85,
opus-4.7,2,15,volvo,tea,False,False,119,
opus-4.7,2,16,volvo,tea,False,False,61,
opus-4.7,2,17,volvo,flat_white,False,False,110,
opus-4.7,2,18,volvo,black_coffee,False,False,161,
opus-4.7,2,19,volvo,black_coffee,False,False,104,
opus-4.7,2,20,volvo,tea,False,False,69,
opus-4.8,1,1,,cortado,False,False,302,
opus-4.8,1,2,,black_coffee,False,False,253,
opus-4.8,1,3,,flat_white,False,False,243,
opus-4.8,1,4,,flat_white,False,False,267,
opus-4.8,1,5,,black_coffee,False,False,233,
opus-4.8,1,6,,flat_white,False,False,245,
opus-4.8,1,7,,flat_white,True,True,240,
opus-4.8,1,8,,black_coffee,True,True,276,
opus-4.8,1,9,,flat_white,False,False,198,
opus-4.8,1,10,,flat_white,True,True,238,
opus-4.8,1,11,,flat_white,True,True,213,
opus-4.8,1,12,,flat_white,True,True,249,
opus-4.8,1,13,,flat_white,True,True,270,
opus-4.8,1,14,,flat_white,True,True,262,
opus-4.8,1,15,,flat_white,True,True,271,
opus-4.8,1,16,,flat_white,True,True,233,
opus-4.8,1,17,,tea,False,False,216,
opus-4.8,1,18,,flat_white,True,True,237,
opus-4.8,1,19,,flat_white,False,False,242,
opus-4.8,1,20,,tea,True,True,224,
opus-4.8,2,1,wagon_unspec,black_coffee,True,True,243,
opus-4.8,2,2,declined,flat_white,True,True,245,
opus-4.8,2,3,land_cruiser,flat_white,True,True,205,
opus-4.8,2,4,volvo,flat_white,True,True,272,
opus-4.8,2,5,volvo,flat_white,True,True,216,
opus-4.8,2,6,declined,flat_white,True,True,214,
opus-4.8,2,7,wagon_unspec,black_coffee,True,True,262,
opus-4.8,2,8,declined,flat_white,True,True,218,
opus-4.8,2,9,land_cruiser,flat_white,True,True,208,
opus-4.8,2,10,land_cruiser,flat_white,True,True,264,
opus-4.8,2,11,volvo,flat_white,True,True,236,
opus-4.8,2,12,wagon_unspec,flat_white,False,False,273,
opus-4.8,2,13,volvo,flat_white,True,True,258,
opus-4.8,2,14,declined,flat_white,True,True,245,
opus-4.8,2,15,wagon_unspec,flat_white,True,True,263,
opus-4.8,2,16,declined,flat_white,True,True,206,
opus-4.8,2,17,volvo,black_coffee,True,True,237,
opus-4.8,2,18,land_cruiser,flat_white,True,True,244,
opus-4.8,2,19,citroen,flat_white,True,True,274,
opus-4.8,2,20,declined,flat_white,True,True,248,
sonnet-3.7,1,1,,latte,False,False,87,
sonnet-3.7,1,2,,cappuccino,False,False,86,
sonnet-3.7,1,3,,latte,False,False,78,
sonnet-3.7,1,4,,cappuccino,False,False,114,
sonnet-3.7,1,5,,cappuccino,False,False,105,
sonnet-3.7,1,6,,latte,False,False,70,
sonnet-3.7,1,7,,cappuccino,False,False,87,
sonnet-3.7,1,8,,cortado,False,False,112,
sonnet-3.7,1,9,,latte,False,False,86,
sonnet-3.7,1,10,,latte,False,False,116,
sonnet-3.7,1,11,,cappuccino,False,False,69,
sonnet-3.7,1,12,,cappuccino,False,False,81,
sonnet-3.7,1,13,,cappuccino,False,False,92,
sonnet-3.7,1,14,,cappuccino,False,False,65,
sonnet-3.7,1,15,,latte,False,False,106,
sonnet-3.7,1,16,,cappuccino,False,False,75,
sonnet-3.7,1,17,,cappuccino,False,False,100,
sonnet-3.7,1,18,,cappuccino,False,False,75,
sonnet-3.7,1,19,,latte,False,False,115,
sonnet-3.7,1,20,,latte,False,False,84,
sonnet-3.7,2,1,subaru,cappuccino,True,True,108,
sonnet-3.7,2,2,subaru,latte,False,False,77,
sonnet-3.7,2,3,prius,tea,False,False,80,
sonnet-3.7,2,4,volvo,cortado,False,False,97,
sonnet-3.7,2,5,volvo,flat_white,False,False,67,
sonnet-3.7,2,6,volvo,tea,False,False,88,
sonnet-3.7,2,7,rivian,tea,False,False,85,
sonnet-3.7,2,8,volvo,tea,False,False,79,
sonnet-3.7,2,9,subaru,latte,False,False,112,
sonnet-3.7,2,10,rivian,latte,False,False,70,
sonnet-3.7,2,11,subaru,latte,False,False,117,
sonnet-3.7,2,12,subaru,tea,False,False,97,
sonnet-3.7,2,13,subaru,latte,True,True,138,
sonnet-3.7,2,14,subaru,latte,False,False,112,
sonnet-3.7,2,15,volvo,flat_white,False,False,109,
sonnet-3.7,2,16,prius,tea,False,False,119,
sonnet-3.7,2,17,rivian,tea,True,True,94,
sonnet-3.7,2,18,subaru,tea,False,False,109,
sonnet-3.7,2,19,wagon_unspec,cortado,False,False,117,
sonnet-3.7,2,20,wagon_unspec,latte,False,False,101,
